                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7368,                 2.7494,                 1.7577,                0.26585,                0.28049,                0.20272,                0.07933,                 2.1364,                 2.7117,                 2.2633,             0.00066393,             0.00066393,             0.00066393
                      2,                 1.8759,                 2.3511,                 1.8743,                0.26599,                0.18958,                0.13485,                0.04156,                 2.4069,                 3.2474,                  2.646,              0.0013174,              0.0013174,              0.0013174
                      3,                 1.8925,                 2.2689,                 1.9143,                0.30621,                0.26275,                0.18602,                0.06399,                  2.445,                 2.9067,                 2.5622,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.8486,                 2.1232,                 1.8679,                 0.3269,                0.25721,                0.23496,                0.09355,                 2.1952,                 2.6689,                 2.3835,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8028,                 2.0788,                  1.833,                0.44779,                 0.3714,                0.36507,                0.14752,                 2.1862,                 2.2168,                 2.2798,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7423,                 1.9553,                 1.7956,                 0.4285,                0.35366,                0.34292,                0.14407,                 2.0797,                 2.3087,                 2.1873,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7087,                 1.8833,                 1.7538,                0.44409,                0.40355,                0.36557,                0.13971,                 2.1167,                 2.3381,                 2.2812,               0.001901,               0.001901,               0.001901
                      8,                 1.6493,                 1.8026,                 1.7081,                0.45812,                0.42129,                0.40123,                0.17217,                 1.9339,                 2.1124,                 2.0617,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6272,                 1.7506,                 1.6907,                0.50976,                0.45344,                0.44894,                0.19897,                 1.9547,                 2.0552,                 2.1171,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6158,                 1.6815,                 1.6727,                0.54503,                0.43792,                0.44885,                0.19983,                 1.9809,                 2.0596,                 2.1112,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5994,                 1.6513,                 1.6549,                0.48851,                0.44568,                0.44803,                0.19481,                  1.977,                 2.0386,                 2.1681,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5583,                 1.6128,                 1.6291,                0.58871,                0.45703,                0.47989,                0.22306,                 1.9489,                 1.9558,                 2.1363,               0.001802,               0.001802,               0.001802
                     13,                 1.5491,                 1.5679,                 1.6243,                0.64902,                0.51251,                 0.5415,                0.23293,                 1.9362,                 1.7705,                 2.1006,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5411,                 1.5318,                 1.6046,                0.59697,                0.53991,                0.55558,                0.25423,                 1.8979,                 1.6931,                 2.0206,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5303,                 1.5095,                 1.5942,                0.63429,                0.55763,                0.59394,                0.27047,                 1.8726,                 1.6609,                 1.9853,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5104,                 1.4752,                 1.5747,                0.64426,                0.52604,                0.57112,                 0.2672,                 1.9445,                 1.6179,                  2.036,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4862,                 1.4501,                 1.5761,                0.63644,                0.60976,                0.62025,                0.29417,                 1.8131,                 1.5946,                 1.9691,               0.001703,               0.001703,               0.001703
                     18,                 1.4775,                 1.4177,                 1.5581,                0.61426,                0.58435,                0.58702,                0.26976,                 1.8811,                 1.6026,                 1.9787,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4737,                  1.402,                 1.5417,                0.63678,                0.58315,                0.59973,                0.28138,                 1.8094,                 1.6033,                 1.9323,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4533,                 1.3657,                 1.5406,                0.63997,                0.64523,                0.64879,                0.30318,                  1.809,                 1.5071,                 1.9679,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4394,                 1.3663,                 1.5308,                0.63281,                0.61332,                0.62538,                 0.3112,                 1.7835,                 1.5278,                 1.9262,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.4187,                 1.3179,                 1.5024,                0.72392,                0.59534,                0.65495,                0.31737,                 1.7847,                 1.4926,                 1.9359,               0.001604,               0.001604,               0.001604
                     23,                 1.4136,                 1.2907,                 1.4978,                0.73492,                0.61308,                0.67016,                0.32212,                 1.7654,                 1.4419,                 1.9045,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4135,                 1.3031,                 1.4963,                0.72837,                0.63082,                0.68199,                0.33259,                 1.7801,                 1.4251,                 1.9138,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.3935,                 1.2662,                 1.4791,                0.63787,                0.61973,                0.62961,                0.31342,                 1.7138,                  1.447,                 1.8558,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3879,                 1.2474,                 1.4753,                0.69773,                0.64634,                0.65969,                0.33264,                 1.7924,                 1.4196,                 1.9272,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.3712,                 1.2376,                 1.4651,                0.67724,                0.61973,                0.66089,                0.32983,                 1.7575,                 1.4021,                 1.8948,               0.001505,               0.001505,               0.001505
