                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7145,                  2.723,                 1.7315,                0.31075,                0.24397,                0.17346,                0.06587,                 2.3204,                 2.8192,                 2.4135,             0.00066438,             0.00066438,             0.00066438
                      2,                 1.8905,                 2.3803,                 1.8885,                 0.1585,                0.15792,                0.08616,                0.02822,                 2.4837,                 3.2602,                 2.6797,              0.0013177,              0.0013177,              0.0013177
                      3,                 1.8935,                 2.2532,                 1.8967,                0.38052,                0.31389,                0.27281,                0.11837,                 2.2296,                 2.7243,                 2.2611,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.8417,                 2.1606,                 1.8614,                0.44367,                0.26705,                0.26637,                0.11514,                 2.2767,                 3.4111,                  2.443,                0.00194,                0.00194,                0.00194
                      5,                 1.7771,                 2.0395,                 1.8123,                0.51572,                0.37356,                0.39443,                0.17257,                 2.1527,                 2.5162,                  2.224,                0.00194,                0.00194,                0.00194
                      6,                 1.7196,                 1.9243,                 1.7545,                0.60165,                0.40189,                0.43397,                0.19016,                 2.0918,                 2.3451,                 2.2096,                0.00192,                0.00192,                0.00192
                      7,                 1.6776,                  1.849,                 1.7223,                0.46333,                0.35887,                0.33658,                0.14232,                 2.2122,                 2.9212,                  2.392,                 0.0019,                 0.0019,                 0.0019
                      8,                  1.645,                 1.8091,                   1.69,                 0.5858,                0.44334,                0.46765,                0.22564,                 1.9926,                   2.41,                 2.1449,                0.00188,                0.00188,                0.00188
                      9,                 1.6184,                 1.7049,                  1.683,                0.64551,                0.44544,                0.49851,                0.23647,                 1.9842,                 2.1989,                 2.0741,                0.00186,                0.00186,                0.00186
                     10,                  1.603,                 1.6417,                 1.6625,                0.66571,                0.48059,                0.49735,                0.23966,                 1.9461,                 2.3202,                 2.0553,                0.00184,                0.00184,                0.00184
                     11,                 1.5765,                 1.6117,                 1.6331,                0.72091,                0.49633,                0.55028,                 0.2689,                 1.9542,                 2.3439,                 2.0917,                0.00182,                0.00182,                0.00182
                     12,                 1.5469,                 1.5613,                 1.6127,                 0.6712,                0.50367,                0.54186,                0.26582,                 1.9247,                 2.1817,                 2.0271,                 0.0018,                 0.0018,                 0.0018
                     13,                  1.532,                 1.5301,                 1.6042,                0.74996,                0.49097,                0.56497,                 0.2921,                 1.8278,                 2.1793,                 1.9766,                0.00178,                0.00178,                0.00178
                     14,                 1.5234,                 1.4966,                 1.5879,                0.74947,                0.53305,                0.58114,                0.28725,                 1.8844,                 2.3301,                 2.0177,                0.00176,                0.00176,                0.00176
                     15,                 1.4964,                 1.4619,                 1.5672,                0.73725,                0.51154,                0.55496,                0.28698,                 1.8754,                  2.356,                 2.0304,                0.00174,                0.00174,                0.00174
                     16,                 1.4881,                 1.4425,                 1.5609,                0.72673,                 0.5042,                0.55448,                0.27915,                 1.8634,                 2.2224,                 1.9841,                0.00172,                0.00172,                0.00172
                     17,                 1.4759,                 1.4201,                 1.5553,                0.75372,                0.51864,                0.57175,                0.29385,                 1.9154,                 2.2018,                 2.0483,                 0.0017,                 0.0017,                 0.0017
                     18,                  1.467,                  1.384,                 1.5333,                0.74175,                0.53148,                0.58523,                0.30058,                 1.8706,                 2.2238,                 1.9497,                0.00168,                0.00168,                0.00168
