                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7358,                 2.7691,                 1.7518,                0.28115,                0.19512,                0.13336,                0.05521,                 2.3931,                 3.0486,                 2.4542,             0.00066438,             0.00066438,             0.00066438
                      2,                 1.8816,                 2.3791,                 1.9112,                0.25273,                0.21619,                0.14016,                0.05009,                 2.2661,                  2.798,                 2.4354,              0.0013179,              0.0013179,              0.0013179
                      3,                 1.9202,                 2.3293,                 1.9324,                0.19402,                0.23282,                0.12622,                0.04553,                 2.3782,                 3.0509,                 2.4916,              0.0019582,              0.0019582,              0.0019582
                      4,                 1.8497,                 2.2165,                 1.8899,                0.33708,                 0.2184,                0.19809,                0.06748,                  2.298,                 3.1856,                 2.4602,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7842,                 2.0855,                 1.8309,                0.42815,                0.34257,                0.32296,                0.12995,                 2.0481,                 2.5383,                 2.2127,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7209,                 1.9563,                 1.7651,                0.45088,                0.40022,                0.38215,                0.16402,                 2.0625,                 2.2487,                 2.2462,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.6899,                 1.8662,                 1.7394,                0.47049,                0.40466,                0.36313,                0.15684,                 2.0257,                  2.168,                 2.1848,               0.001901,               0.001901,               0.001901
                      8,                 1.6664,                 1.8462,                 1.7247,                0.54148,                0.42794,                0.42581,                0.19339,                 2.0168,                 2.2213,                 2.2018,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6325,                 1.7463,                 1.6929,                0.47366,                0.52217,                0.47348,                0.19652,                 1.9756,                 1.9242,                 2.1336,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5898,                 1.6808,                 1.6527,                0.58277,                0.45565,                0.50511,                0.22454,                 1.9292,                 1.9286,                 2.0891,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5974,                 1.6266,                 1.6462,                0.55612,                0.49224,                0.51025,                0.22047,                 1.8837,                 1.9713,                 2.0494,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5607,                 1.5897,                 1.6147,                0.61211,                0.54878,                0.56561,                0.25074,                 1.8866,                 1.7484,                 2.0657,               0.001802,               0.001802,               0.001802
                     13,                 1.5466,                 1.5783,                 1.6155,                0.56462,                0.52334,                0.51415,                0.22966,                   1.91,                 1.8998,                  2.126,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5169,                 1.5113,                 1.5962,                0.69306,                0.55654,                0.61506,                0.28064,                 1.8826,                 1.6988,                  2.077,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5249,                 1.5029,                 1.5942,                0.67006,                0.58313,                0.59083,                0.28062,                  1.878,                 1.6525,                 2.0187,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5021,                 1.4849,                 1.5709,                0.63768,                0.53548,                0.57115,                0.27849,                 1.8407,                 1.7354,                 1.9773,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4864,                 1.4397,                   1.56,                0.66612,                0.56541,                0.60604,                0.28296,                 1.8406,                 1.6263,                 1.9954,               0.001703,               0.001703,               0.001703
                     18,                 1.4635,                 1.4048,                 1.5423,                0.67937,                0.59197,                0.63382,                0.29838,                 1.7799,                 1.5123,                 1.8923,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4612,                 1.3681,                 1.5365,                0.69165,                0.63663,                0.66562,                0.31876,                 1.8159,                 1.4622,                 1.9548,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4447,                 1.3756,                 1.5273,                0.67381,                0.56107,                 0.6075,                0.30442,                 1.7568,                  1.526,                   1.87,              0.0016436,              0.0016436,              0.0016436
