                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7368,                 2.7494,                 1.7577,                0.26585,                0.28049,                0.20272,                0.07933,                 2.1364,                 2.7117,                 2.2633,             0.00066393,             0.00066393,             0.00066393
                      2,                 1.8703,                 2.3737,                  1.884,                0.21262,                0.13193,                0.08501,                0.03225,                 2.4997,                 3.9109,                  2.859,              0.0013013,              0.0013013,              0.0013013
                      3,                 1.8812,                 2.2843,                  1.907,                0.33896,                0.18293,                0.17755,                0.07091,                 2.4591,                 3.6043,                 2.6058,              0.0019094,              0.0019094,              0.0019094
                      4,                  1.852,                 2.1295,                 1.8836,                0.35418,                0.29268,                0.27218,                0.10195,                 2.2103,                  2.605,                 2.3727,               0.001868,               0.001868,               0.001868
                      5,                 1.7905,                 2.0479,                 1.8431,                0.42723,                0.32262,                0.29882,                0.12636,                 2.1538,                 2.4763,                 2.3255,               0.001868,               0.001868,               0.001868
                      6,                 1.7296,                  1.936,                 1.7953,                0.45769,                0.30931,                0.30872,                0.13492,                 2.0768,                  2.397,                 2.1865,               0.001824,               0.001824,               0.001824
                      7,                 1.7025,                 1.8619,                 1.7593,                0.48664,                0.39024,                0.40555,                0.17936,                 2.0244,                 2.1522,                 2.2212,                0.00178,                0.00178,                0.00178
                      8,                 1.6496,                 1.7579,                 1.7114,                0.52706,                0.41761,                0.44631,                0.19136,                  2.004,                 2.0382,                 2.1237,               0.001736,               0.001736,               0.001736
                      9,                 1.6251,                 1.7252,                 1.6863,                0.50558,                 0.4102,                0.45066,                0.20612,                 1.8458,                 2.1933,                  2.011,               0.001692,               0.001692,               0.001692
                     10,                 1.5831,                 1.6275,                 1.6434,                0.59313,                 0.4357,                0.47746,                0.22241,                 1.9341,                 1.8891,                 2.0686,               0.001648,               0.001648,               0.001648
                     11,                 1.5798,                 1.5965,                 1.6404,                0.59469,                0.52704,                0.53686,                0.23442,                  1.885,                   1.74,                 2.0652,               0.001604,               0.001604,               0.001604
                     12,                 1.5355,                 1.5626,                 1.6094,                0.56551,                0.49557,                0.50448,                0.23437,                 1.8763,                 1.8857,                 2.0568,                0.00156,                0.00156,                0.00156
                     13,                 1.5377,                 1.5237,                 1.6124,                0.58427,                0.54656,                0.53412,                 0.2449,                 1.8906,                 1.7115,                  2.036,               0.001516,               0.001516,               0.001516
                     14,                 1.4917,                  1.489,                 1.5758,                0.63874,                0.57871,                0.59097,                0.25985,                 1.8504,                 1.6554,                 1.9793,               0.001472,               0.001472,               0.001472
                     15,                 1.4964,                 1.4561,                 1.5758,                0.67388,                0.55987,                0.60626,                 0.2797,                 1.8418,                 1.5769,                 1.9448,               0.001428,               0.001428,               0.001428
                     16,                 1.4702,                 1.4201,                 1.5516,                0.66598,                0.52166,                0.58307,                0.27449,                 1.8514,                 1.7055,                 1.9779,               0.001384,               0.001384,               0.001384
                     17,                 1.4493,                 1.3829,                 1.5485,                0.66625,                0.59976,                0.61769,                0.29836,                 1.7904,                 1.5911,                 1.9416,                0.00134,                0.00134,                0.00134
                     18,                  1.442,                   1.36,                 1.5343,                0.67198,                0.61308,                0.64749,                0.31473,                 1.7727,                 1.4821,                 1.8976,               0.001296,               0.001296,               0.001296
                     19,                 1.4417,                 1.3509,                 1.5232,                0.69127,                0.58582,                0.64848,                0.30936,                 1.8353,                 1.4775,                 1.9815,               0.001252,               0.001252,               0.001252
                     20,                  1.427,                 1.2978,                 1.5175,                0.69796,                0.62084,                0.65585,                0.32662,                 1.7796,                  1.434,                 1.9184,               0.001208,               0.001208,               0.001208
                     21,                 1.3928,                 1.2851,                  1.493,                0.69053,                0.61641,                0.65199,                 0.3119,                 1.7469,                 1.5104,                 1.9043,               0.001164,               0.001164,               0.001164
                     22,                 1.3859,                 1.2419,                 1.4796,                0.64442,                0.61752,                0.63467,                 0.3167,                 1.7496,                 1.4898,                 1.8887,                0.00112,                0.00112,                0.00112
                     23,                 1.3652,                 1.2271,                 1.4711,                0.71794,                0.66408,                0.71139,                0.35353,                 1.6981,                 1.3608,                 1.8481,               0.001076,               0.001076,               0.001076
                     24,                 1.3628,                 1.2201,                  1.465,                0.71314,                0.65521,                0.68782,                0.33439,                 1.7706,                 1.3601,                 1.9107,               0.001032,               0.001032,               0.001032
                     25,                 1.3431,                 1.1884,                 1.4466,                0.69475,                0.67073,                0.70862,                0.36237,                 1.6979,                  1.288,                 1.8394,               0.000988,               0.000988,               0.000988
                     26,                 1.3245,                 1.1626,                 1.4439,                0.74486,                0.65381,                0.71028,                0.34218,                 1.7479,                 1.3311,                 1.8739,               0.000944,               0.000944,               0.000944
                     27,                 1.3198,                 1.1446,                 1.4306,                0.73934,                0.70067,                 0.7319,                0.37539,                 1.6859,                 1.2448,                 1.8346,                 0.0009,                 0.0009,                 0.0009
                     28,                 1.3137,                 1.1345,                 1.4288,                0.75772,                0.67738,                0.72822,                 0.3787,                 1.6961,                  1.251,                 1.8171,               0.000856,               0.000856,               0.000856
                     29,                 1.2849,                 1.1261,                 1.4112,                0.75721,                0.69956,                0.74146,                0.37838,                 1.6675,                 1.2291,                 1.8148,               0.000812,               0.000812,               0.000812
                     30,                  1.279,                 1.1122,                 1.4058,                0.75673,                0.71397,                0.74265,                0.38712,                  1.665,                 1.1953,                 1.8118,               0.000768,               0.000768,               0.000768
                     31,                 1.2684,                 1.0845,                 1.3918,                0.80163,                0.70399,                0.76013,                0.39455,                 1.6811,                 1.1685,                 1.8277,               0.000724,               0.000724,               0.000724
                     32,                 1.2592,                 1.0707,                  1.388,                0.75843,                0.71701,                0.74487,                  0.388,                 1.6453,                 1.1714,                 1.7877,                0.00068,                0.00068,                0.00068
                     33,                 1.2334,                 1.0379,                 1.3729,                0.77787,                0.70659,                0.73848,                0.38548,                 1.6736,                 1.1792,                 1.8051,               0.000636,               0.000636,               0.000636
                     34,                  1.223,                 1.0073,                 1.3605,                 0.7931,                0.69734,                0.75683,                0.39155,                 1.6906,                 1.1429,                 1.8283,               0.000592,               0.000592,               0.000592
                     35,                 1.2276,                 1.0166,                 1.3629,                0.76852,                0.73982,                0.76903,                 0.3962,                 1.6576,                 1.1234,                  1.796,               0.000548,               0.000548,               0.000548
