                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2422,                 1.0484,                  1.464,                0.80039,                0.69512,                0.75037,                0.38192,                 1.7215,                 1.1553,                  1.958,              0.0010858,              0.0010858,              0.0010858
                     35,                  1.223,                 1.0176,                 1.4463,                0.76007,                0.68404,                 0.7243,                0.36671,                 1.7028,                 1.2212,                 1.9442,              0.0010572,              0.0010572,              0.0010572
                     36,                 1.2247,                 1.0389,                 1.4473,                0.78939,                0.66484,                0.73226,                0.38401,                  1.707,                 1.1958,                 1.9469,              0.0010286,              0.0010286,              0.0010286
                     37,                 1.2115,                 1.0004,                 1.4348,                0.80739,                0.70172,                0.76011,                0.40659,                   1.65,                 1.1132,                 1.8876,              0.0010001,              0.0010001,              0.0010001
                     38,                 1.1909,                0.98425,                 1.4268,                0.79972,                 0.7306,                0.77818,                0.41126,                 1.6501,                 1.0564,                 1.8831,             0.00097148,             0.00097148,             0.00097148
                     39,                 1.1953,                0.98471,                 1.4281,                 0.7801,                0.73503,                0.76383,                0.40309,                 1.6791,                 1.0696,                 1.9247,             0.00094291,             0.00094291,             0.00094291
                     40,                 1.1777,                0.95019,                 1.4127,                0.81511,                0.73836,                0.79405,                0.42617,                 1.6469,                 1.0287,                 1.8775,             0.00091434,             0.00091434,             0.00091434
                     41,                 1.1782,                0.93601,                   1.41,                0.79706,                0.76053,                0.78284,                0.41477,                 1.6534,                 1.0416,                 1.9014,             0.00088577,             0.00088577,             0.00088577
                     42,                  1.164,                 0.9303,                 1.3939,                0.77449,                0.68736,                0.72943,                0.38788,                 1.6677,                 1.1179,                 1.9292,              0.0008572,              0.0008572,              0.0008572
                     43,                 1.1459,                 0.9229,                 1.3894,                0.81091,                0.76718,                 0.7833,                 0.4245,                 1.6279,                 1.0195,                 1.8794,             0.00082863,             0.00082863,             0.00082863
                     44,                  1.118,                0.88778,                 1.3742,                0.81916,                0.71313,                0.77255,                0.42308,                 1.6094,                 1.0765,                 1.8553,             0.00080006,             0.00080006,             0.00080006
                     45,                 1.1136,                0.88573,                 1.3606,                0.80026,                0.72838,                0.75673,                0.41804,                 1.6338,                 1.0316,                 1.9028,             0.00077149,             0.00077149,             0.00077149
