                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7368,                 2.7494,                 1.7577,                0.26585,                0.28049,                0.20272,                0.07933,                 2.1364,                 2.7117,                 2.2633,             0.00066393,             0.00066393,             0.00066393
                      2,                  1.859,                 2.3318,                 1.8668,                0.15633,                 0.1929,                0.09041,                0.03453,                 2.3445,                  4.117,                 2.6744,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.9022,                 2.3248,                 1.9166,                0.37324,                0.26718,                0.21675,                0.07824,                 2.2961,                 3.0293,                 2.4516,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.8554,                  2.187,                 1.8951,                0.21324,                0.18071,                0.15098,                0.05398,                 2.3034,                 3.5697,                  2.564,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7858,                 2.0582,                 1.8398,                0.51175,                0.31839,                0.35325,                0.13425,                 2.1047,                 2.3315,                 2.2621,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.7376,                 1.9535,                 1.7989,                 0.5398,                0.41092,                0.42398,                  0.168,                  2.098,                 2.1149,                 2.2103,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6914,                 1.8672,                 1.7436,                0.47298,                0.37212,                0.37317,                0.16322,                 2.0141,                 2.3047,                 2.2223,               0.001802,               0.001802,               0.001802
                      8,                 1.6481,                 1.7765,                 1.7186,                0.50059,                0.47118,                0.46489,                0.19386,                 1.9292,                  1.997,                 2.0814,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.6251,                 1.7276,                 1.6854,                0.45468,                 0.4289,                  0.421,                0.19087,                 1.9225,                 2.1407,                 2.1363,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.5872,                 1.6471,                 1.6537,                0.59762,                0.43237,                0.47105,                 0.2251,                 1.9602,                 1.9456,                 2.1038,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.5811,                 1.6134,                 1.6415,                0.64315,                0.54545,                0.57333,                0.25739,                 1.8861,                 1.7239,                  2.031,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.5372,                 1.5576,                 1.6195,                0.65669,                0.51956,                0.57285,                 0.2549,                 1.8914,                 1.6894,                 2.0427,               0.001604,               0.001604,               0.001604
                     13,                 1.5225,                 1.5133,                 1.6098,                  0.632,                 0.5765,                0.59904,                0.26572,                 1.8689,                 1.5743,                 2.0462,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.4951,                 1.4912,                 1.5807,                0.64067,                0.57539,                0.60706,                0.28372,                 1.8116,                 1.6208,                 1.9687,              0.0015248,              0.0015248,              0.0015248
                     15,                    1.5,                 1.4586,                 1.5755,                0.63742,                0.58426,                0.59811,                0.27279,                 1.8527,                 1.6466,                 1.9915,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.4629,                 1.4159,                 1.5448,                0.63097,                0.60469,                  0.614,                0.28837,                 1.8598,                 1.5522,                 2.0121,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.4551,                 1.4015,                 1.5514,                0.64732,                0.57982,                0.61766,                0.28247,                 1.8636,                 1.5853,                 1.9875,               0.001406,               0.001406,               0.001406
                     18,                  1.457,                   1.37,                 1.5451,                0.69336,                0.60165,                0.65297,                0.31759,                 1.7641,                 1.4842,                 1.9152,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.4501,                 1.3705,                  1.524,                 0.6984,                0.62128,                0.67271,                0.32469,                 1.8338,                 1.4477,                 1.9426,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4345,                 1.3198,                 1.5138,                0.70372,                0.62195,                0.64953,                0.30987,                 1.8654,                  1.493,                 1.9793,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.4054,                 1.2964,                 1.5002,                0.73036,                0.61862,                0.67531,                0.32984,                   1.74,                 1.4777,                 1.8845,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.3881,                 1.2605,                 1.4762,                0.67129,                0.58865,                 0.6363,                0.32422,                 1.7246,                 1.4538,                 1.8517,               0.001208,               0.001208,               0.001208
                     23,                 1.3672,                 1.2358,                 1.4698,                0.68524,                0.65965,                 0.6776,                0.34057,                 1.7338,                 1.3593,                 1.8923,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.3599,                 1.2348,                 1.4561,                0.69131,                0.62749,                0.66861,                0.33142,                 1.7559,                  1.363,                 1.8563,              0.0011288,              0.0011288,              0.0011288
