                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3266,                 1.1318,                 1.4285,                0.79183,                0.66297,                0.72114,                0.37716,                 1.7189,                 1.2255,                 1.8457,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3246,                 1.1231,                 1.4205,                 0.7328,                0.71175,                0.73929,                0.37546,                 1.7231,                  1.215,                 1.8429,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3271,                 1.1217,                  1.423,                0.80058,                0.65743,                0.73534,                0.38522,                 1.6926,                 1.2668,                 1.8203,               0.001307,               0.001307,               0.001307
                     38,                 1.3166,                 1.1127,                 1.4078,                0.77969,                0.70843,                0.74049,                 0.3877,                 1.7107,                 1.1773,                 1.8443,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3021,                 1.0879,                 1.4163,                0.76133,                0.71175,                0.73872,                0.38749,                 1.6886,                 1.2059,                 1.8316,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2954,                 1.0981,                 1.3944,                0.77226,                0.69927,                0.74516,                0.37993,                 1.6942,                 1.1766,                  1.837,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2947,                 1.0788,                 1.4032,                0.79316,                0.69297,                 0.7461,                0.39554,                 1.6506,                 1.1595,                 1.7717,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2753,                 1.0514,                 1.3799,                0.77613,                0.71491,                0.74167,                0.38367,                 1.7171,                 1.1187,                 1.8653,               0.001208,               0.001208,               0.001208
                     43,                 1.2746,                 1.0521,                 1.3858,                0.78405,                0.70953,                   0.74,                 0.3886,                 1.6934,                  1.166,                 1.8517,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.269,                 1.0332,                 1.3752,                0.79626,                0.71951,                0.76397,                0.40047,                 1.7026,                  1.121,                 1.8334,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2531,                 1.0149,                 1.3645,                0.79914,                0.72616,                0.76146,                0.39666,                 1.6824,                 1.1236,                 1.8244,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2551,                 1.0175,                 1.3661,                0.76724,                0.67605,                0.72855,                0.38596,                 1.6811,                 1.1957,                 1.8385,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2479,                  1.012,                 1.3538,                0.78964,                0.71397,                0.76194,                0.39771,                 1.6813,                 1.1259,                 1.8382,               0.001109,               0.001109,               0.001109
                     48,                 1.2437,                0.99626,                 1.3603,                 0.8048,                0.71764,                0.76745,                0.41662,                 1.6511,                 1.0863,                 1.7839,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2404,                0.99208,                 1.3566,                0.78054,                0.73836,                0.77037,                0.41208,                 1.6519,                 1.0938,                 1.8018,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2341,                 1.0005,                 1.3585,                 0.8008,                0.73985,                0.77132,                0.40942,                 1.6785,                 1.0902,                 1.8012,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2342,                0.98945,                 1.3555,                0.79236,                0.72768,                0.77263,                0.41635,                 1.6487,                 1.0811,                 1.7944,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2162,                0.95557,                 1.3394,                0.80488,                0.72616,                0.76274,                0.41359,                 1.6596,                 1.0832,                 1.8076,                0.00101,                0.00101,                0.00101
                     53,                 1.2122,                0.95607,                 1.3404,                0.80766,                0.75721,                0.78549,                0.42372,                 1.6382,                 1.0493,                 1.7794,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2142,                0.96435,                 1.3318,                0.81453,                0.73282,                0.78813,                0.42515,                 1.6314,                 1.0284,                 1.7632,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.207,                0.94897,                 1.3341,                0.81458,                0.73503,                0.78283,                0.42487,                 1.6148,                 1.0498,                 1.7548,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1897,                0.92808,                 1.3271,                0.80699,                0.74627,                0.78313,                0.42702,                  1.615,                 1.0524,                 1.7614,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2025,                0.93719,                 1.3272,                0.81336,                0.75367,                0.78553,                0.42013,                 1.6188,                 1.0413,                 1.7652,               0.000911,               0.000911,               0.000911
                     58,                   1.17,                0.91296,                 1.3153,                0.81782,                0.76275,                0.80056,                0.42439,                 1.6196,                 1.0132,                 1.7753,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1705,                0.91277,                 1.3081,                0.81924,                0.74834,                0.79095,                 0.4321,                 1.6033,                 1.0076,                 1.7653,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1684,                0.91205,                 1.3049,                0.82775,                0.73519,                0.78067,                0.42611,                 1.6097,                 1.0059,                 1.7658,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.166,                0.90619,                 1.3016,                0.82189,                0.73666,                0.78355,                0.42991,                 1.6071,                 1.0106,                 1.7585,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1596,                0.89757,                 1.2982,                0.81469,                0.77051,                0.79801,                0.43482,                 1.6047,                0.99539,                 1.7667,               0.000812,               0.000812,               0.000812
                     63,                 1.1584,                 0.8952,                 1.3036,                0.82853,                 0.7446,                0.79355,                0.43697,                 1.5935,                 1.0003,                 1.7529,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1552,                0.86937,                  1.297,                0.82594,                0.76608,                0.80748,                0.44498,                 1.5757,                0.98449,                 1.7369,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1438,                 0.8661,                 1.2878,                0.83603,                 0.7518,                0.81647,                0.45072,                 1.6019,                0.97952,                 1.7469,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.139,                 0.8729,                 1.2859,                0.84262,                0.74197,                  0.809,                0.44824,                 1.5961,                0.96156,                 1.7451,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1354,                0.86642,                 1.2791,                0.83202,                0.75229,                 0.7936,                0.43724,                 1.5903,                0.99405,                 1.7531,               0.000713,               0.000713,               0.000713
                     68,                 1.1186,                0.85564,                 1.2723,                0.80724,                0.76497,                0.79403,                0.44624,                 1.5875,                0.97196,                 1.7344,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1097,                 0.8291,                 1.2668,                0.82268,                0.78714,                0.81627,                0.44494,                 1.5943,                0.96482,                 1.7456,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1193,                0.84016,                 1.2733,                0.86122,                0.77743,                0.82614,                0.45299,                 1.5772,                0.93729,                 1.7255,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1095,                0.83437,                 1.2552,                0.85005,                0.76053,                 0.8033,                0.44415,                 1.5903,                0.94228,                 1.7358,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1105,                0.82096,                 1.2595,                0.85274,                0.77678,                0.80527,                0.44238,                 1.5983,                0.94135,                 1.7438,               0.000614,               0.000614,               0.000614
                     73,                 1.0919,                0.80746,                 1.2512,                0.83472,                0.76718,                0.80562,                0.45373,                  1.591,                0.92704,                 1.7358,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1038,                0.82295,                 1.2552,                0.83705,                0.76884,                0.81969,                0.46045,                 1.5708,                0.92961,                 1.7269,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0915,                0.81527,                 1.2533,                0.83386,                0.77344,                0.81724,                 0.4651,                 1.5689,                0.93885,                 1.7186,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0904,                0.80133,                 1.2492,                0.86262,                0.77384,                0.82302,                0.45886,                 1.5816,                0.92323,                  1.722,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0831,                0.79827,                 1.2511,                0.85553,                0.76497,                0.82132,                0.45625,                 1.5825,                 0.9185,                 1.7456,               0.000515,               0.000515,               0.000515
                     78,                 1.0709,                0.79798,                 1.2397,                0.82637,                0.78271,                0.81566,                0.45749,                 1.5812,                0.91073,                   1.74,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.057,                0.77621,                 1.2406,                0.85338,                0.78714,                0.83121,                0.45873,                  1.571,                0.90794,                 1.7311,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0578,                0.77936,                 1.2343,                0.84574,                0.78492,                0.82826,                0.46553,                 1.5564,                0.90665,                 1.7133,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0677,                0.77532,                 1.2358,                0.84672,                0.78389,                0.82287,                0.45557,                 1.5669,                0.90482,                 1.7437,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0537,                0.77548,                 1.2321,                0.86143,                0.77881,                0.83474,                0.46992,                 1.5449,                0.89447,                 1.7118,               0.000416,               0.000416,               0.000416
                     83,                  1.057,                0.77023,                 1.2309,                0.85928,                0.77605,                0.82663,                0.46604,                 1.5508,                0.87969,                 1.7204,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0389,                0.75583,                 1.2206,                0.84849,                0.78271,                0.83505,                0.47552,                 1.5421,                0.88202,                 1.6998,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0414,                0.75454,                 1.2275,                0.86383,                0.77384,                0.84044,                0.46928,                 1.5422,                0.87453,                 1.7012,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0189,                0.74799,                 1.2082,                0.83931,                0.78936,                0.83734,                0.47172,                 1.5358,                0.89071,                 1.7001,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0337,                0.75743,                 1.2226,                0.83148,                0.79933,                0.83309,                0.46985,                  1.541,                 0.8867,                 1.7191,               0.000317,               0.000317,               0.000317
                     88,                 1.0206,                0.75146,                 1.2082,                0.84208,                0.80599,                0.83663,                0.46733,                  1.551,                0.88714,                 1.7267,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.015,                0.74373,                   1.21,                0.84729,                0.81193,                0.83937,                0.47307,                 1.5486,                0.86952,                 1.7112,              0.0002774,              0.0002774,              0.0002774
