                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7937,                 2.5909,                 1.8319,                0.19032,                0.18625,                0.10072,                0.03895,                 2.2356,                 3.8464,                 2.6296,             0.00066438,             0.00066438,             0.00066438
                      2,                 1.9697,                 2.3828,                 2.0236,                0.15722,                0.14745,                0.07961,                0.03003,                 2.5085,                  3.947,                  2.718,              0.0013179,              0.0013179,              0.0013179
                      3,                 1.9744,                  2.401,                 2.0274,                0.23949,                0.18182,                0.15504,                0.06059,                 2.3027,                  3.197,                 2.5181,              0.0019582,              0.0019582,              0.0019582
                      4,                 1.9001,                 2.2957,                  1.984,                 0.2309,                0.28381,                 0.1609,                0.06312,                 2.2164,                 3.0467,                 2.4148,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8085,                 2.1174,                 1.8949,                 0.3347,                0.29933,                0.26543,                0.11183,                 2.1018,                 2.3358,                 2.3045,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7357,                 2.0016,                 1.8274,                0.46802,                0.38803,                0.36699,                0.14477,                 2.1178,                 2.4863,                 2.3639,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.6943,                 1.8703,                 1.7766,                 0.4897,                0.40022,                0.39889,                0.17527,                 2.0212,                 2.1389,                 2.1759,               0.001901,               0.001901,               0.001901
                      8,                 1.6776,                 1.8626,                 1.7762,                0.60114,                0.43944,                0.49649,                0.21371,                 2.0128,                  1.927,                 2.1897,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6455,                 1.7669,                 1.7436,                0.54783,                0.40355,                0.44719,                0.19782,                 1.8788,                 2.0106,                 2.0661,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5926,                   1.68,                 1.6967,                0.56736,                 0.5394,                0.52833,                0.23594,                 1.8833,                  1.822,                 2.0905,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5707,                 1.6311,                   1.68,                0.54491,                0.50222,                0.49869,                0.21664,                 1.9036,                  1.788,                 2.0822,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5402,                 1.5789,                 1.6458,                0.61846,                0.52993,                0.55069,                0.24635,                 1.8729,                 1.7429,                 2.0673,               0.001802,               0.001802,               0.001802
                     13,                 1.5484,                 1.5607,                 1.6548,                0.57121,                0.48147,                0.49726,                0.22612,                 1.9018,                 1.9525,                 2.0819,              0.0017822,              0.0017822,              0.0017822
                     14,                   1.52,                 1.5089,                 1.6346,                0.54757,                0.54435,                0.52628,                 0.2382,                 1.9889,                 1.7483,                 2.2404,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4941,                 1.4691,                 1.6101,                0.65523,                0.50333,                0.56495,                0.24875,                 1.8907,                 1.7563,                 2.0562,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4811,                 1.4638,                 1.5883,                0.63058,                0.57761,                0.61034,                0.28175,                 1.8511,                 1.6273,                 2.0179,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.469,                 1.4049,                  1.587,                0.65158,                0.56763,                0.61048,                0.28435,                 1.8609,                 1.5803,                 2.0422,               0.001703,               0.001703,               0.001703
                     18,                 1.4413,                 1.3712,                 1.5572,                0.65285,                0.63525,                0.64528,                0.29752,                 1.8302,                 1.4571,                 1.9543,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4419,                 1.3456,                 1.5614,                 0.6679,                0.60865,                0.63697,                0.30605,                 1.8083,                 1.4847,                 1.9946,              0.0016634,              0.0016634,              0.0016634
